,date,idle_cpus,partially_idle_cpus,partially_free_mem,free_mem,allocated_nodes,idle_nodes,other_nodes,total_nodes
61,18-03-22 17:48:42,0.06036700975081257,0.06036700975081257,0.7375739452252512,0.04692497141613142,6465,514,262,7241
62,19-03-22 08:02:16,0.15104343688396438,0.15104343688396438,0.6158319144471848,0.09106505464001569,6446,507,288,7241
63,24-03-22 06:18:10,0.015008808781677735,0.015008808781677735,0.8246364745401593,0.010332945300217356,6869,85,287,7241
64,18-03-22 17:04:02,0.037112147637396065,0.037112147637396065,0.7971383030351792,0.0399299964136937,6676,312,253,7241
65,28-03-22 12:08:57,0.15141212508836302,0.15141212508836302,0.5890600688736575,0.11966968212616952,5981,1037,223,7241
66,26-03-22 05:51:19,0.012413560465508518,0.012413560465508518,0.8422997512129755,0.012103307253256309,6907,92,242,7241
67,31-03-22 01:56:11,0.113246700231324,0.113246700231324,0.7753988870875758,0.06704788094537592,6425,499,317,7241
68,25-03-22 08:46:10,0.01894387875917594,0.01894387875917594,0.8384402537393643,0.012063667975476318,6883,88,270,7241
69,21-03-22 00:33:21,0.06570247933884298,0.06570247933884298,0.6679966694312279,0.06895043869221704,6280,568,393,7241
70,29-03-22 12:54:25,0.019230769230769232,0.019230769230769232,0.8145582644955064,0.014697927505664284,6906,118,217,7241
71,26-03-22 14:02:39,0.006428257265622357,0.006428257265622357,0.7966520400931371,0.004908754776614279,6937,39,265,7241
72,27-03-22 10:09:03,0.016280030288428445,0.016280030288428445,0.797355927421295,0.0170472776424169,6695,131,415,7241
73,30-03-22 16:19:05,0.16902124199613783,0.16902124199613783,0.63067407526326,0.2054305951659401,5370,1597,274,7241
74,22-03-22 19:23:59,0.055324754281082175,0.055324754281082175,0.7962266858423135,0.04535997127931974,6601,388,252,7241
75,18-03-22 18:46:15,0.02236583880354605,0.02236583880354605,0.8288478757409783,0.022977194704966643,6799,180,262,7241
76,23-03-22 04:38:23,0.020060214471770237,0.020060214471770237,0.8022635628189582,0.011374205684364784,6792,183,266,7241
77,18-03-22 19:31:30,0.028572395815701278,0.028572395815701278,0.8092985756724372,0.02162867931288066,6797,179,265,7241
78,18-03-22 00:35:41,0.017330670548014758,0.017330670548014758,0.8170417747058077,0.0077268071689972255,6909,62,270,7241
79,24-03-22 23:18:19,0.06123901362843825,0.06123901362843825,0.7874631280776402,0.051148840104295,6088,391,762,7241
80,27-03-22 15:10:24,0.02605231248917374,0.02605231248917374,0.7459790405007065,0.0142145656304079,6631,138,472,7241
81,28-03-22 16:10:54,0.012712295332045154,0.012712295332045154,0.7839749720736433,0.013874796977100387,6862,119,260,7241
82,23-03-22 06:00:19,0.027976049524711614,0.027976049524711614,0.7927972872219627,0.026556029514476578,6732,243,266,7241
83,18-03-22 20:37:30,0.06674564224064986,0.06674564224064986,0.7761255182232004,0.04346789351750666,6575,401,265,7241
84,18-03-22 11:22:39,0.01881901427417183,0.01881901427417183,0.8082641261872965,0.010602161152069337,6851,172,218,7241
85,30-03-22 06:40:17,0.10515703496121116,0.10515703496121116,0.7180869393142126,0.11179827132887966,6070,827,344,7241
86,26-03-22 20:01:55,0.01560104915352386,0.01560104915352386,0.8059944269274711,0.011200898543071046,6843,82,316,7241
87,20-03-22 23:32:05,0.0062945000515942625,0.0062945000515942625,0.7035974473598624,0.0034814903944664316,6826,31,384,7241
88,30-03-22 09:12:31,0.10805084745762712,0.10805084745762712,0.7252701767985451,0.10379423051531814,6081,941,219,7241
89,25-03-22 15:17:25,0.028873073160859446,0.028873073160859446,0.8083692904513305,0.03026111838682478,6759,239,243,7241
90,23-03-22 14:01:15,0.032254806235480285,0.032254806235480285,0.8152405837028843,0.025371304916309064,6811,195,235,7241
91,25-03-22 20:14:53,0.06636825631878303,0.06636825631878303,0.7755385154778042,0.06130587312548488,6517,497,227,7241
92,21-03-22 08:59:01,0.11985651709033215,0.11985651709033215,0.6821422980130193,0.13718419060539494,5732,1104,405,7241
93,31-03-22 05:32:25,0.07804079405143598,0.07804079405143598,0.7885955643660351,0.04249807390991958,6626,274,341,7241
94,31-03-22 14:28:17,0.03199730549006399,0.03199730549006399,0.821119241288294,0.03279121574270948,6778,234,229,7241
95,20-03-22 04:35:41,0.3105016585165681,0.3105016585165681,0.5996835069641184,0.16503081322875404,5887,1022,332,7241
96,25-03-22 01:37:09,0.05465163381042398,0.05465163381042398,0.8217862725547723,0.03340306952697508,6723,265,253,7241
97,19-03-22 21:39:59,0.2957301363745663,0.2957301363745663,0.6136602167479276,0.1827836444414251,5690,1169,382,7241
98,25-03-22 20:21:39,0.0521847522150726,0.0521847522150726,0.7858266922492466,0.05471116299717425,6582,422,237,7241
99,31-03-22 05:37:23,0.09534413648977355,0.09534413648977355,0.7753731602798011,0.05748114145346165,6478,387,376,7241
100,23-03-22 22:54:07,0.019382724387114202,0.019382724387114202,0.8216968575309612,0.01964618121622813,6822,161,258,7241
101,29-03-22 16:16:59,0.06404578592355387,0.06404578592355387,0.7886728380159831,0.0563794532736589,6502,432,307,7241
